Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,directLink
3esXEGYJfJ84r6psu6tkSzAb1YqTNZ7pdZW8WBGj8fZ5,7.04%,"$8,101.21","$23,855.80",54.41%,53.99%,['kol'],https://gmgn.ai/sol/address/3esXEGYJfJ84r6psu6tkSzAb1YqTNZ7pdZW8WBGj8fZ5
3j7kzVBfK36jz8XRGJTefiYfXC1eGnPaDU6Y4AtchoAt,0.58%,$80.19,$80.19,?,?,[],https://gmgn.ai/sol/address/3j7kzVBfK36jz8XRGJTefiYfXC1eGnPaDU6Y4AtchoAt
3wsPBoGbJpMkhRUSCxM1nagMVGQAH1ZcDKdtzxaRfNj9,5.45%,$-251.56,"$3,282.74",0.00%,45.95%,[],https://gmgn.ai/sol/address/3wsPBoGbJpMkhRUSCxM1nagMVGQAH1ZcDKdtzxaRfNj9
3pjpB6CQz5gkwMy7XAxStNzrsmdH6pMvXzs8Uy8rqxMk,3.26%,$223.84,$955.60,43.40%,40.35%,[],https://gmgn.ai/sol/address/3pjpB6CQz5gkwMy7XAxStNzrsmdH6pMvXzs8Uy8rqxMk
3tPoxTHESQSxyEyRnrg8exTsZf4jqpqPzHX1gVoytq9n,6.70%,"$6,591.80","$14,273.04",76.90%,77.41%,[],https://gmgn.ai/sol/address/3tPoxTHESQSxyEyRnrg8exTsZf4jqpqPzHX1gVoytq9n
3y3uueteBZVrbXtHY9P1ADPM2dbADVm12oMenCs4DxtR,2.99%,$52.41,"$-1,234.23",?,?,[],https://gmgn.ai/sol/address/3y3uueteBZVrbXtHY9P1ADPM2dbADVm12oMenCs4DxtR
3zW6odCfkmDFtWGhWc2Kp5SEokfprh2gnqLar1wv1WnB,5.99%,"$3,583.21","$43,608.03",35.53%,40.77%,[],https://gmgn.ai/sol/address/3zW6odCfkmDFtWGhWc2Kp5SEokfprh2gnqLar1wv1WnB
3xc7T8w9tGju62DvC6CCFuB8K2463GGFVqjfnV6tMqJQ,20.07%,"$7,039.92","$7,039.92",52.00%,52.00%,['fresh_wallet'],https://gmgn.ai/sol/address/3xc7T8w9tGju62DvC6CCFuB8K2463GGFVqjfnV6tMqJQ
4277v3qPuMLkHdXYx7zQsVnpTiZCEetahVBTiG2TseLg,0.37%,"$2,467.95","$2,467.95",?,?,[],https://gmgn.ai/sol/address/4277v3qPuMLkHdXYx7zQsVnpTiZCEetahVBTiG2TseLg
42RPLA4BLoJGd75Ht95aByprPoJbLAD4Dte3f2rxTqKE,6.32%,"$7,284.11","$30,620.59",58.30%,65.22%,[],https://gmgn.ai/sol/address/42RPLA4BLoJGd75Ht95aByprPoJbLAD4Dte3f2rxTqKE
3F6wEnntTKc35si9WqPRMrApuyMEmgHGxzpkgPrRYRaV,7.01%,"$2,773.50","$11,091.01",?,?,[],https://gmgn.ai/sol/address/3F6wEnntTKc35si9WqPRMrApuyMEmgHGxzpkgPrRYRaV
46Sar5uqEHwoqEcdeXxZWQt9qkKMtkt3Tqxe2jKvMaRw,4.35%,$635.91,$635.91,?,?,[],https://gmgn.ai/sol/address/46Sar5uqEHwoqEcdeXxZWQt9qkKMtkt3Tqxe2jKvMaRw
4DmJ9Lz4X1rbRsgABLPek7YHS8kuYgNSMC4YaVuwihA5,8.06%,"$1,092.13","$4,310.06",45.71%,39.71%,[],https://gmgn.ai/sol/address/4DmJ9Lz4X1rbRsgABLPek7YHS8kuYgNSMC4YaVuwihA5
4MzicNVcdERdDaXM855eAJ5uWWZHTyTaXWjGY6tzLwwt,-61.77%,$-27.09,$-27.09,?,?,[],https://gmgn.ai/sol/address/4MzicNVcdERdDaXM855eAJ5uWWZHTyTaXWjGY6tzLwwt
4LkiTRBXfCepGz8aCEWuKkYPk3rd1zKHtWeB2cxT28jn,4.13%,$193.62,$206.56,?,?,[],https://gmgn.ai/sol/address/4LkiTRBXfCepGz8aCEWuKkYPk3rd1zKHtWeB2cxT28jn
4PPKHBW2X76KHEvsTMYw6zC7bbAN5QF3Ft7CV3PyiYD8,0.58%,$64.68,$64.68,?,?,[],https://gmgn.ai/sol/address/4PPKHBW2X76KHEvsTMYw6zC7bbAN5QF3Ft7CV3PyiYD8
4RkoWwrh26eMMwNaekvbqRzpFKzLxe3pYtfoBbcar5c2,11.88%,"$1,996.04","$9,640.57",37.95%,36.71%,[],https://gmgn.ai/sol/address/4RkoWwrh26eMMwNaekvbqRzpFKzLxe3pYtfoBbcar5c2
4XGDj5XPZpWr38sqHLpgkjqL2fz33y5EqS3YDQZ5feD3,8.45%,"$1,797.20","$59,846.19",42.59%,42.51%,[],https://gmgn.ai/sol/address/4XGDj5XPZpWr38sqHLpgkjqL2fz33y5EqS3YDQZ5feD3
4YoVpJGPudbpu6mxZ4voJt6XGXjBcSd9AQgXPdEt2SUg,-4.44%,"$3,442.06","$7,857.32",18.92%,19.05%,[],https://gmgn.ai/sol/address/4YoVpJGPudbpu6mxZ4voJt6XGXjBcSd9AQgXPdEt2SUg
4jFJiBwh49ZdjpWFtyeaJqhiUaGhnBuLAtqoGPPVXXBx,99.06%,$903.86,"$2,767.49",?,?,[],https://gmgn.ai/sol/address/4jFJiBwh49ZdjpWFtyeaJqhiUaGhnBuLAtqoGPPVXXBx
4gSVZr5sHcqLrXZGD2xjv4HcbhpFoMN3ubFAqtRGXCpS,11.98%,"$42,754.45","$105,926.79",50.25%,50.89%,[],https://gmgn.ai/sol/address/4gSVZr5sHcqLrXZGD2xjv4HcbhpFoMN3ubFAqtRGXCpS
4kzCFdozdKC9ktAMTwr62YQZPH6hPgzJtpiyTYpBFcVx,3.36%,$-10.17,$182.30,?,?,[],https://gmgn.ai/sol/address/4kzCFdozdKC9ktAMTwr62YQZPH6hPgzJtpiyTYpBFcVx
4oy3zmshYtAWWuwjaoTyRcY2GDU61ij7aXQdp3hCVjJu,6.05%,"$11,847.66","$18,574.42",25.53%,28.29%,[],https://gmgn.ai/sol/address/4oy3zmshYtAWWuwjaoTyRcY2GDU61ij7aXQdp3hCVjJu
4rKBn77V53ybXqdGoTNdz9L8DnCoKhnKoJmehjj9gBwb,-12.95%,$-752.48,"$-1,297.87",29.41%,40.43%,[],https://gmgn.ai/sol/address/4rKBn77V53ybXqdGoTNdz9L8DnCoKhnKoJmehjj9gBwb
4aDKgp2RY39D71y8Csfarz4QoRpWKAc2fjLcovX3vZJv,7.23%,"$1,608.92","$8,232.70",45.83%,52.99%,[],https://gmgn.ai/sol/address/4aDKgp2RY39D71y8Csfarz4QoRpWKAc2fjLcovX3vZJv
4p83B24BzVWXZLG4Y18HdCM8n4A3wWPdCYrT2t5MkGYc,13.92%,"$-2,295.34","$2,230.61",?,?,[],https://gmgn.ai/sol/address/4p83B24BzVWXZLG4Y18HdCM8n4A3wWPdCYrT2t5MkGYc
4wuq4HaoAPiGZYCLCHcurpiEPjtccTDF1Tnt9MjE6jQB,10.59%,"$8,454.23","$8,454.23",33.65%,33.65%,[],https://gmgn.ai/sol/address/4wuq4HaoAPiGZYCLCHcurpiEPjtccTDF1Tnt9MjE6jQB
56Gi1eaF587FDNqDEmFkehPMDvNB2ay5kvGP8QCT8Hbq,-0.43%,$-682.78,"$1,613.85",?,?,[],https://gmgn.ai/sol/address/56Gi1eaF587FDNqDEmFkehPMDvNB2ay5kvGP8QCT8Hbq
4zLMyJ9VMY25BcTdn8ktEuQLUQ8hpkjZmNgnuMQ4Dznk,39.43%,"$5,460.32","$26,101.33",79.25%,76.26%,[],https://gmgn.ai/sol/address/4zLMyJ9VMY25BcTdn8ktEuQLUQ8hpkjZmNgnuMQ4Dznk
5997xbjpuMFM6jxcA55U7ow2DD6DLTjf9SdsQEooCSYd,6.75%,"$1,565.48","$1,565.48",?,?,[],https://gmgn.ai/sol/address/5997xbjpuMFM6jxcA55U7ow2DD6DLTjf9SdsQEooCSYd
5AjAPaWgWYJHLedpEDA25Qgx1NjRmySjC9cf7eH2Qq83,-2.35%,$-23.42,$-53.66,?,?,[],https://gmgn.ai/sol/address/5AjAPaWgWYJHLedpEDA25Qgx1NjRmySjC9cf7eH2Qq83
5Lf3RLRnqGM99Xqro7a3XgSr6iM5eQzJHk2aNx5yKDxV,9.62%,"$4,797.97","$11,667.67",47.21%,45.11%,[],https://gmgn.ai/sol/address/5Lf3RLRnqGM99Xqro7a3XgSr6iM5eQzJHk2aNx5yKDxV
5Bb2LcUJPjBBDzjW2Z75qPRmRFnZCRE9G6KYj1uuRNMD,14.66%,"$5,542.81","$8,224.20",48.59%,48.44%,[],https://gmgn.ai/sol/address/5Bb2LcUJPjBBDzjW2Z75qPRmRFnZCRE9G6KYj1uuRNMD
5P8CdR1VFfXxxZTmhVXLEEWEVTc7KwF9U426dfNyVCzX,-10.18%,$-191.76,$-191.76,33.33%,33.33%,[],https://gmgn.ai/sol/address/5P8CdR1VFfXxxZTmhVXLEEWEVTc7KwF9U426dfNyVCzX
5JZCXnfTsZYvhxUu5yF9QH6aQgivJ9rXqKHf3gLcD9E6,7.70%,$123.70,"$2,668.68",53.25%,51.77%,[],https://gmgn.ai/sol/address/5JZCXnfTsZYvhxUu5yF9QH6aQgivJ9rXqKHf3gLcD9E6
5bndodFDZbiEj5UsbR6CEP2JWLezTtnYBmbMud95fuye,1.68%,"$1,714.72","$1,714.72",?,?,[],https://gmgn.ai/sol/address/5bndodFDZbiEj5UsbR6CEP2JWLezTtnYBmbMud95fuye
5PAnXkvdJzSuktXvo7vUfHePYSuYW8rLsd72uY3gczxy,-4.07%,$54.54,$-81.21,30.61%,27.59%,[],https://gmgn.ai/sol/address/5PAnXkvdJzSuktXvo7vUfHePYSuYW8rLsd72uY3gczxy
5mcbzHtsTgWc3YEX1pfy7FNamx3kLYZ3SUEGbiKX9ig3,7.85%,"$5,629.72","$6,155.80",35.00%,35.84%,[],https://gmgn.ai/sol/address/5mcbzHtsTgWc3YEX1pfy7FNamx3kLYZ3SUEGbiKX9ig3
5pmZcm65onHGQy87CMSWeU8jirnQEwMGm1VZMmxVq86P,-38.62%,"$-1,245.84","$-5,170.89",?,?,[],https://gmgn.ai/sol/address/5pmZcm65onHGQy87CMSWeU8jirnQEwMGm1VZMmxVq86P
5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY,193.93%,"$11,577.79","$142,258.55",72.00%,78.76%,[],https://gmgn.ai/sol/address/5q7Xwc2T57sK1DKU6zuwVXvMPsxqB2xrJ3T5AonFYtcY
5rohhrd1dZcMCuULkUqwxZ7jkiujdef2dNs7UKgnZc2j,17.19%,"$1,549.80","$1,549.80",?,?,[],https://gmgn.ai/sol/address/5rohhrd1dZcMCuULkUqwxZ7jkiujdef2dNs7UKgnZc2j
5rqNUSnMryEWsrWNw3njd2Uwes6ZN3VQYpw3hFKdY86V,29.70%,$-326.07,$-326.07,?,?,[],https://gmgn.ai/sol/address/5rqNUSnMryEWsrWNw3njd2Uwes6ZN3VQYpw3hFKdY86V
5sz7ZFscbSrKHrNcJzaWYnPmKCpYEGMREEvKQgigdx7E,-5.32%,$4.68,$4.68,?,?,[],https://gmgn.ai/sol/address/5sz7ZFscbSrKHrNcJzaWYnPmKCpYEGMREEvKQgigdx7E
5uqYC9RSzq2qxMmnbJ8zf2pkuev2uBDqEJqLQgN7xVRA,-0.34%,"$-1,588.24","$-2,610.08",?,?,[],https://gmgn.ai/sol/address/5uqYC9RSzq2qxMmnbJ8zf2pkuev2uBDqEJqLQgN7xVRA
5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3,3.63%,"$5,714.51","$106,674.22",30.28%,32.49%,[],https://gmgn.ai/sol/address/5wcc13mXoyqe6qh2iHH5GFknojoJ7y13ZPx9K4NXTuo3
5zfKf5hcLVhMmoE1a213UinUuEE7xRTr61MZvB5sFy1b,3.35%,"$5,326.37","$5,380.41",41.03%,40.70%,[],https://gmgn.ai/sol/address/5zfKf5hcLVhMmoE1a213UinUuEE7xRTr61MZvB5sFy1b
5vFXfSUbK8zqxF9M1gTBbdGcXiAAvQJD6XBRnS8HdiBC,-5.66%,"$-1,480.62",$-439.61,?,?,[],https://gmgn.ai/sol/address/5vFXfSUbK8zqxF9M1gTBbdGcXiAAvQJD6XBRnS8HdiBC
61qcpwQWbTruuFWHENpJc8DK5UzZDfRN8fJMqSBRexu5,3.30%,$-13.53,$-13.53,?,?,[],https://gmgn.ai/sol/address/61qcpwQWbTruuFWHENpJc8DK5UzZDfRN8fJMqSBRexu5
6341hhbD5TMBKa87LhCTRo953jQY8WAuYV8XawLgBudg,12.23%,$253.30,"$2,184.10",91.67%,75.56%,[],https://gmgn.ai/sol/address/6341hhbD5TMBKa87LhCTRo953jQY8WAuYV8XawLgBudg
6E5ebQHbejGGB9Wb5D9T1xcE9VgJX8mPMi13RVr1bo9b,15.18%,$115.92,$115.92,?,?,[],https://gmgn.ai/sol/address/6E5ebQHbejGGB9Wb5D9T1xcE9VgJX8mPMi13RVr1bo9b
6EmfVzrWUkcTf8ngGS9JPBwu4AcWeKfqzfuj7XVfGmz5,-4.06%,"$-32,673.24","$-19,164.90",20.18%,21.38%,[],https://gmgn.ai/sol/address/6EmfVzrWUkcTf8ngGS9JPBwu4AcWeKfqzfuj7XVfGmz5
6Eu5ms6QrQK2iRYsJHgXeyiYKawF7yT2N5DBhLjzYyRB,7.19%,$-367.82,"$38,822.06",49.43%,49.95%,[],https://gmgn.ai/sol/address/6Eu5ms6QrQK2iRYsJHgXeyiYKawF7yT2N5DBhLjzYyRB
6PrjVRto7uNvNAWivjYWPy7Mi5K8enDfDpneowNkJmbw,-5.07%,$-15.96,$-15.96,?,?,[],https://gmgn.ai/sol/address/6PrjVRto7uNvNAWivjYWPy7Mi5K8enDfDpneowNkJmbw
6PDxgHoDWXAA7ikQGhW92xHdgH1kwNbnyNJE1seRUWJL,-6.53%,"$-2,072.43","$-7,145.34",23.53%,25.39%,[],https://gmgn.ai/sol/address/6PDxgHoDWXAA7ikQGhW92xHdgH1kwNbnyNJE1seRUWJL
6V9qwj2d9DFnesL2eR4XCR4fsMyA3KTPCrkYG6mwP4A9,12.68%,$2.78,$-4.74,?,?,[],https://gmgn.ai/sol/address/6V9qwj2d9DFnesL2eR4XCR4fsMyA3KTPCrkYG6mwP4A9
6jk2nyUbcJQahAMASG457DXY8yJL1ZwVNWXDWVmaGxV6,29.02%,"$7,560.44","$7,018.18",57.14%,49.38%,[],https://gmgn.ai/sol/address/6jk2nyUbcJQahAMASG457DXY8yJL1ZwVNWXDWVmaGxV6
6M9Wo3FziFtobf1vTrbBQpecaD8v3QhMzyjtCTm5kWdi,-0.46%,$-59.57,$-241.36,?,?,[],https://gmgn.ai/sol/address/6M9Wo3FziFtobf1vTrbBQpecaD8v3QhMzyjtCTm5kWdi
6cS1Pq4fNDhPFHwUfxyyujDkFhqTpZ2uGS3o5JfyGv2s,-27.04%,$12.68,$23.89,44.44%,50.00%,[],https://gmgn.ai/sol/address/6cS1Pq4fNDhPFHwUfxyyujDkFhqTpZ2uGS3o5JfyGv2s
6mmnoD1Pjb4GSerL6HwDcr5XF4NnHLmhUj1FhKtUTmHc,13.90%,"$-3,530.52","$1,290.16",?,?,[],https://gmgn.ai/sol/address/6mmnoD1Pjb4GSerL6HwDcr5XF4NnHLmhUj1FhKtUTmHc
6pmRFYKBbVnryZdcmHK2ttq5syUe4GMuRrC8ca9Egdnj,7.05%,$173.56,$119.31,23.21%,25.00%,[],https://gmgn.ai/sol/address/6pmRFYKBbVnryZdcmHK2ttq5syUe4GMuRrC8ca9Egdnj
6tKwsRx3rwPQrVJGrQ5w6hvcFz1FUJBAkShY5SLoRBvw,4.48%,"$10,742.03","$28,515.50",?,?,[],https://gmgn.ai/sol/address/6tKwsRx3rwPQrVJGrQ5w6hvcFz1FUJBAkShY5SLoRBvw
6vgrMbAoFksRGALBCmGimDSi42s8MuHkTh6FdCwBzWjU,0.41%,"$-19,204.23","$27,532.76",26.55%,33.44%,[],https://gmgn.ai/sol/address/6vgrMbAoFksRGALBCmGimDSi42s8MuHkTh6FdCwBzWjU
7BipGwdMrogBUwJRd27AgPFQvKjXK1494Zz7d2pbaDoh,-0.25%,$-392.34,"$-3,753.00",28.57%,23.46%,[],https://gmgn.ai/sol/address/7BipGwdMrogBUwJRd27AgPFQvKjXK1494Zz7d2pbaDoh
6qVFRsQd26wyVezchtH1fdtvYFYfLWE8CjvUJEQAL3q6,-3.97%,"$-2,584.00","$-5,185.22",?,?,[],https://gmgn.ai/sol/address/6qVFRsQd26wyVezchtH1fdtvYFYfLWE8CjvUJEQAL3q6
7D3pWHbKwEdhEyQpEBNWr5DNweJ3wsGcwoBMrHrB3YMq,34.95%,"$-2,462.52","$42,972.19",18.18%,36.62%,[],https://gmgn.ai/sol/address/7D3pWHbKwEdhEyQpEBNWr5DNweJ3wsGcwoBMrHrB3YMq
7Fpq636RRVGceXE26N1hYcPKFjq3UUvoQqkjHbjNcg8H,-11.67%,"$-4,522.50","$-7,591.22",25.55%,24.82%,[],https://gmgn.ai/sol/address/7Fpq636RRVGceXE26N1hYcPKFjq3UUvoQqkjHbjNcg8H
7KfvaUwfLQAaK4pJFSuGK7yu4qAJ1mhKChDPQgVz6jE8,3.36%,$-793.30,$-779.10,?,?,[],https://gmgn.ai/sol/address/7KfvaUwfLQAaK4pJFSuGK7yu4qAJ1mhKChDPQgVz6jE8
6uNDQ9MsM45L4b5RaruKpc73oq2P2Wiq1okR7yyYyC8w,-7.16%,"$-3,245.81","$-5,546.65",?,?,[],https://gmgn.ai/sol/address/6uNDQ9MsM45L4b5RaruKpc73oq2P2Wiq1okR7yyYyC8w
7KochA4uimkHZXWRcPubhLtYVqdqJM2xzAma5iMSQzdT,6.88%,$399.72,"$11,997.20",38.41%,40.19%,[],https://gmgn.ai/sol/address/7KochA4uimkHZXWRcPubhLtYVqdqJM2xzAma5iMSQzdT
7NxaVM6E3JLx8RNQEtnscArr8ECRXwrx92eg1ktK7j35,9.19%,$406.89,$604.75,64.10%,62.07%,[],https://gmgn.ai/sol/address/7NxaVM6E3JLx8RNQEtnscArr8ECRXwrx92eg1ktK7j35
7WJfWPdkTC2QHQCmFEmBEWvhiD2g1gaFEYucVRKQcf45,4.76%,$468.33,"$1,793.20",?,?,[],https://gmgn.ai/sol/address/7WJfWPdkTC2QHQCmFEmBEWvhiD2g1gaFEYucVRKQcf45
7MWEQXcET7ooKrHLsB16X4Yet6czY6btZ3dxSLY1JMhK,2.51%,"$1,459.21","$1,459.21",?,?,[],https://gmgn.ai/sol/address/7MWEQXcET7ooKrHLsB16X4Yet6czY6btZ3dxSLY1JMhK
7UM5b2QrfDsQ3q8JrnvzEK1XnwCWZZB9zMU6X7q3jzmy,10.91%,$191.50,$191.50,?,?,[],https://gmgn.ai/sol/address/7UM5b2QrfDsQ3q8JrnvzEK1XnwCWZZB9zMU6X7q3jzmy
7d2wtRjpz1MtwgZLFrSPizU4KgxoygneR7aoZqcEsZZr,-14.88%,$-77.52,$18.06,?,?,[],https://gmgn.ai/sol/address/7d2wtRjpz1MtwgZLFrSPizU4KgxoygneR7aoZqcEsZZr
7XURCfraWRfNoNBk9wNqFmoWUdCGrDZXrGoWSc7WE5Nv,7.35%,"$3,272.23","$82,674.16",34.53%,39.45%,[],https://gmgn.ai/sol/address/7XURCfraWRfNoNBk9wNqFmoWUdCGrDZXrGoWSc7WE5Nv
